File Name,Call Type,Length (seconds),Start Time,Trap Number
Crossroad-070418_230002-S102-E118,Male,16.0,2018-04-08 11:01,Secretary_Island/Crossroad
Crossroad-070418_230002-S9-E22,Male,13.0,2018-04-08 11:00,Secretary_Island/Crossroad
Crossroad-070418_231502-S313-E329,Male,16.0,2018-04-08 11:20,Secretary_Island/Crossroad
Crossroad-070418_231502-S561-E577,Male,16.0,2018-04-08 11:24,Secretary_Island/Crossroad
Crossroad-070418_231502-S68-E97,Male,29.0,2018-04-08 11:16,Secretary_Island/Crossroad
Crossroad-070418_231502-S728-E741,Male,13.0,2018-04-08 11:27,Secretary_Island/Crossroad
Crossroad-070418_231502-S759-E780,Male,21.0,2018-04-08 11:27,Secretary_Island/Crossroad
Crossroad-070418_233002-S214-E224,Male,10.0,2018-04-08 11:33,Secretary_Island/Crossroad
Crossroad-070418_233002-S240-E250,Male,10.0,2018-04-08 11:34,Secretary_Island/Crossroad
Crossroad-070418_233002-S712-E728,Male,16.0,2018-04-08 11:41,Secretary_Island/Crossroad
Crossroad-070419_220001-S388-E406,Male,18.0,2019-04-08 10:06,Secretary_Island/Crossroad
Crossroad-070419_220001-S466-E494,Male,28.0,2019-04-08 10:07,Secretary_Island/Crossroad
Crossroad-070419_223002-S123-E136,Male,13.0,2019-04-08 10:32,Secretary_Island/Crossroad
Crossroad-070420_224502-S263-E270,Male,7.0,2020-04-08 10:49,Secretary_Island/Crossroad
Crossroad-080418_231502-S156-E183,Male,27.0,2018-04-09 11:17,Secretary_Island/Crossroad
Crossroad-080418_231502-S504-E514,Male,10.0,2018-04-09 11:23,Secretary_Island/Crossroad
Crossroad-080419_221503-S728-E749,Male,21.0,2019-04-09 10:27,Secretary_Island/Crossroad
Crossroad-080419_230002-S455-E464,Male,9.0,2019-04-09 11:07,Secretary_Island/Crossroad
Crossroad-080419_233002-S273-E279,Male,6.0,2019-04-09 11:34,Secretary_Island/Crossroad
Crossroad-080419_233002-S521-E530,Male,9.0,2019-04-09 11:38,Secretary_Island/Crossroad
Crossroad-080420_221502-S165-E175,Female,10.0,2020-04-09 10:17,Secretary_Island/Crossroad
Crossroad-080519_224502-S19-E26,Male,7.0,2019-05-09 10:45,Secretary_Island/Crossroad
Crossroad-080519_224502-S9-E16,Male,7.0,2019-05-09 10:45,Secretary_Island/Crossroad
Crossroad-080519_234502-S453-E466,Male,13.0,2019-05-09 11:52,Secretary_Island/Crossroad
Crossroad-090418_230002-S25-E31,Female,6.0,2018-04-10 11:00,Secretary_Island/Crossroad
